No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考,クラス,カウント
41,本白根山（草津白根山）,36.6227777,138.5319444,ほんしらねさん（くさつしらねさん）,2171,群馬県,北関東,,百名山,0
42,四阿山,36.5416666,138.4130555,あずまやさん,2354,長野県･群馬県,北関東,,百名山,0
43,浅間山,36.4063888,138.5230555,あさまやま,2568,群馬県･長野県,北関東,,百名山,0
44,筑波山,36.2252777,140.1066666,つくばさん,877,茨城県,北関東,,百名山,1
45,白馬岳,36.7586111,137.7586111,しろうまだけ,2932,富山県･長野県,北アルプス,,百名山,0
46,五龍岳,36.6583333,137.7527777,ごりゅうだけ,2814,富山県,北アルプス,,百名山,0
47,鹿島槍ヶ岳,36.6244444,137.7469444,かしまやりがたけ,2889,富山県･長野県,北アルプス,,百名山,0
48,剱岳,36.6233333,137.6169444,つるぎだけ,2999,富山県,北アルプス,,百名山,0
49,立山（大汝山）,36.5758333,137.6197222,たてやま（おおなんじやま）,3015,富山県,北アルプス,,百名山,0
50,薬師岳,36.4688888,137.5447222,やくしだけ,2926,富山県,北アルプス,,百名山,0
51,黒部五郎岳（中ノ俣岳）,36.3925,137.54,くろべごろうだけ（なかのまただけ）,2840,富山県・岐阜県,北アルプス,,百名山,0
52,水晶岳（黒岳）,36.4263888,137.6027777,すいしょうだけ（くろだけ）,2986,富山県,北アルプス,,百名山,0
53,鷲羽岳,36.4030555,137.6052777,わしばだけ,2924,富山県･長野県,北アルプス,,百名山,0
54,槍ヶ岳,36.3419444,137.6475,やりがたけ,3180,長野県,北アルプス,,百名山,0
55,穂高岳（奥穂高岳）,36.2891666,137.6480555,ほたかだけ（おくほたかだけ）,3190,長野県･岐阜県,北アルプス,,百名山,1
56,常念岳,36.3255555,137.7275,じょうねんだけ,2857,長野県,北アルプス,,百名山,1
57,笠ヶ岳,36.3155555,137.5502777,かさがだけ,2898,岐阜県,北アルプス,H26年標高変更,百名山,0
58,焼岳,36.2269444,137.5869444,やけだけ,2455,長野県･岐阜県,北アルプス,,百名山,0
59,乗鞍岳（剣ヶ峰）,36.1063888,137.5536111,のりくらだけ（けんがみね）,3026,岐阜県･長野県,北アルプス,,百名山,0
60,御嶽山（剣ヶ峰）,35.8927777,137.4802777,おんたけさん（けんがみね）,3067,長野県,八ヶ岳・中央アルプス,,百名山,0
61,美ヶ原（王ヶ頭）,36.2258333,138.1075,うつくしがはら（おうがとう）,2034,長野県,八ヶ岳・中央アルプス,,百名山,0
62,霧ヶ峰（車山）,36.1030555,138.1966666,きりがみね（くるまやま）,1925,長野県,八ヶ岳・中央アルプス,,百名山,0
63,蓼科山,36.1036111,138.295,たてしなやま,2531,長野県,八ヶ岳・中央アルプス,H26年標高変更,百名山,0
64,八ヶ岳（赤岳）,35.9708333,138.37,やつがだけ（あかだけ）,2899,長野県・山梨県,八ヶ岳・中央アルプス,,百名山,0
65,両神山,36.0233333,138.8413888,りょうかみさん,1723,埼玉県,秩父･多摩･南関東,,百名山,0
66,雲取山,35.8555555,138.9438888,くもとりやま,2017,埼玉県・東京都,秩父･多摩･南関東,,百名山,0
67,甲武信ヶ岳,35.9088888,138.7288888,こぶしがたけ,2475,埼玉県･山梨県,秩父･多摩･南関東,,百名山,0
68,金峰山,35.8713888,138.6252777,きんぷさん,2599,山梨県･長野県,秩父･多摩･南関東,,百名山,0
69,瑞牆山,35.8933333,138.5919444,みずがきやま,2230,山梨県,秩父･多摩･南関東,,百名山,0
70,大菩薩嶺,35.7488888,138.8455555,だいぼさつれい,2057,山梨県,秩父･多摩･南関東,,百名山,0
71,丹沢山（蛭ヶ岳）,35.4863888,139.1388888,たんざわさん（ひるがたけ）,1673,神奈川県,秩父･多摩･南関東,,百名山,0
72,富士山（剣ヶ峰）,35.3608333,138.7275,ふじさん（けんがみね）,3776,山梨県･静岡県,秩父･多摩･南関東,,百名山,1
73,天城山（万三郎岳）,34.8627777,139.0016666,あまぎざん（ばんざぶろうだけ）,1406,静岡県,秩父･多摩･南関東,H26年標高変更,百名山,0
74,駒ヶ岳（木曽駒ヶ岳）,35.7894444,137.8044444,こまがたけ（きそこまがたけ）,2956,長野県,八ヶ岳・中央アルプス,,百名山,1
75,空木岳,35.7188888,137.8172222,うつぎだけ,2864,長野県,八ヶ岳・中央アルプス,,百名山,0
76,恵那山,35.4436111,137.5972222,えなさん,2191,長野県・岐阜県,八ヶ岳・中央アルプス,,百名山,0
77,駒ヶ岳（甲斐駒ヶ岳）,35.7580555,138.2366666,こまがたけ（かいこまがたけ）,2967,山梨県･長野県,南アルプス,,百名山,0
78,仙丈ヶ岳,35.72,138.1836111,せんじょうがたけ,3033,山梨県･長野県,南アルプス,,百名山,1
79,鳳凰山（観音ヶ岳）,35.7016666,138.3047222,ほうおうざん（かんのんがだけ）,2841,山梨県,南アルプス,H26年標高変更,百名山,1
80,北岳,35.6744444,138.2388888,きただけ,3193,山梨県,南アルプス,,百名山,0
81,間ノ岳,35.6461111,138.2283333,あいのだけ,3190,山梨県･静岡県,南アルプス,H26年標高変更,百名山,0
82,塩見岳,35.5738888,138.1830555,しおみだけ,3047,長野県･静岡県,南アルプス,,百名山,0
83,悪沢岳（東岳）,35.5008333,138.1825,わるさわだけ（ひがしだけ）,3141,静岡県,南アルプス,,百名山,0
84,赤石岳,35.4611111,138.1572222,あかいしだけ,3121,長野県･静岡県,南アルプス,H26年標高変更,百名山,0
85,聖岳（前聖岳）,35.4227777,138.1397222,ひじりだけ（まえひじりだけ）,3013,長野県･静岡県,南アルプス,,百名山,0
86,光岳,35.3380555,138.0838888,てかりだけ,2592,静岡県・長野県,南アルプス,H26年標高変更,百名山,0
87,白山（御前峰）,36.155,136.7713888,はくさん（ごぜんがみね）,2702,石川県･岐阜県,近畿･北陸・中四国,,百名山,1
88,荒島岳,35.9341666,136.6013888,あらしまだけ,1523,福井県,近畿･北陸・中四国,,百名山,0
89,伊吹山,35.4177777,136.4063888,いぶきやま,1377,滋賀県,近畿･北陸・中四国,,百名山,0
90,大台ヶ原山（日出ヶ岳）,34.1852777,136.1091666,おおだいがはらざん（ひのでがたけ）,1695,奈良県･三重県,近畿･北陸・中四国,,百名山,0
